"Pair";"Session";"Fribble_nr";"Name_a";"Name_b"
"005006";"pre";5;"vierkante staaf liggend";"langwerpige balk bovenop"
"005006";"pre";6;"vierkant balletje cirkel";"doorboorde bol voorkant"
"005006";"pre";7;"mengkom door tafel";"tafel aan voorkant"
"005006";"pre";8;"langwerpig hexagon neus";"doorboord vierkant bovenop"
"005006";"pre";9;"halve cirkel kegel";"schijf aan achterkant"
"005006";"pre";10;"bolletjes twee stokken";"liggend scherm achterkant"
"005006";"pre";11;"bolle neus driehoek";"bol aan voorkant"
"005006";"pre";12;"spijker schuin hartje";"spijker uitstekende deel"
"005006";"pre";13;"vierkante ondergrond";"twee uitstekende kralensnoeren"
"005006";"pre";14;"vierkante stok vooraanzicht";"bol op bovenkant"
"005006";"pre";15;"schuine cilinder vierkant";"twee blokjes bovenop"
"005006";"pre";16;"kegels vierkantjes zijkant";"blokjes aan voorkant"
"005006";"post";1;"spijker scherm blokjes";"spijker bovenkant blokken torentjes"
"005006";"post";2;"hanenkam vierkant cirkel";"hanenkam prisma voorkant"
"005006";"post";3;"gedraaide balk driehoek";"gedraaide driehoek onder"
"005006";"post";4;"afgekapt hoedje is teken";"is teken pilon"
"005006";"post";5;"shuttle balkje bovenop";"spaceshuttle liggende balk"
"005006";"post";6;"staaf bolletje cirkel";"balk bol voorkant"
"005006";"post";7;"tafeltje met schoteltje";"tafel met bakje"
"005006";"post";8;"doorboord vierkant glijbaan";"glijbaan doorboord vierkant"
"005006";"post";9;"blokje onderin cirkel";"schijf achterkant ballon"
"005006";"post";10;"scherm achter spijkers";"liggend scherm achterkant"
"005006";"post";11;"bolletje driehoek staafje";"bol gleufje links"
"005006";"post";12;"spijker hartje schijf";"spijker in hartje"
"005006";"post";13;"kralen vierkanten plaat";"kralenketting dienblad"
"005006";"post";14;"bolletje armen staaf";"bol boven armpjes"
"005006";"post";15;"tutu torens";"twin torens tutu"
"005006";"post";16;"ballonnetjes vierkanten blokjes";"ballon boven links"
"007008";"pre";1;"vierkant oog met twee schroef oren";"vierkant voorkant"
"007008";"pre";2;"scherp driehoekige pet";"driehoek bovenop"
"007008";"pre";3;"mogelijk menselijk lichaam";"gedraaid uitsteeksel onderkant"
"007008";"pre";4;"pastoor achtig hoedje";"is aan rechterkant"
"007008";"pre";5;"rechthoekig balk op de beker";"rechthoek bovenop"
"007008";"pre";6;"appelvormig beker";"vliegtuig propeller voorkant"
"007008";"pre";7;"tafel vormig pet";"veel bovenkant"
"007008";"pre";8;"satelliet kop met pinokkio neus";"neus en sik"
"007008";"pre";9;"oude camera toestel";"lange neus staart"
"007008";"pre";10;"dikke handvaten beker";"honkbalknuppel achterkant"
"007008";"pre";11;"een watermeloen neus";"bolle neus"
"007008";"pre";12;"pacman oortje";"rond platform rechts"
"007008";"pre";13;"symmetrische koffie beker";"vierkant onderkant"
"007008";"pre";14;"hangende koffie beker";"bol bovenop"
"007008";"pre";15;"een groetende robotje";"twee stokjes bovenop"
"007008";"pre";16;"boomstam in beker";"twee stelen"
"007008";"post";1;"champignon kapsel robot";"mushroom uitpuilende ogen"
"007008";"post";2;"piramide pet";"driehoek met kogel"
"007008";"post";3;"menselijke trofee";"trofee"
"007008";"post";4;"pastor met een is teken";"is teken"
"007008";"post";5;"robot stofzuigende snoepmachine";"omgekeerde beker schepje"
"007008";"post";6;"clown toeter";"toeter appel blaadje"
"007008";"post";7;"ouderwetse pistool";"ak zevenenveertig"
"007008";"post";8;"pinokkio sticom satelliet";"satelliet en sik"
"007008";"post";9;"oude zijwaartse cameratoestel";"nek halve cirkel"
"007008";"post";10;"elektrische fiets meter";"honkbalknuppel elektrische fiets"
"007008";"post";11;"onkruid schotel";"misvormde waterdruppel boven"
"007008";"post";12;"pacman helikopter landing";"pacman helikopterplatform"
"007008";"post";13;"diamanten kop koffie oren";"diamantjes plat vierkant"
"007008";"post";14;"moderne lantaarnpaal lamp";"toren en bol"
"007008";"post";15;"groetende stofzuiger robot";"robot met arm"
"007008";"post";16;"twee waterdruppels";"twee druppels water"
"009010";"pre";1;"stekker robot vierkant";"vierkant rechts vooraan"
"009010";"pre";2;"piramide trapezium";"piramide bovenaan"
"009010";"pre";3;"pirouette armen omhoog";"driehoek onderaan"
"009010";"pre";4;"kip duckface hanenkam";"twee balken rechts"
"009010";"pre";5;"lampenkap schouders balk";"lange balk bovenop"
"009010";"pre";6;"neuspiercing kuifje staaf";"doorboord ei rechts"
"009010";"pre";7;"opgetilde plank bakje";"pootjes plaat bovenaan"
"009010";"pre";8;"wijzend been omhoog";"gebogen balk onderaan"
"009010";"pre";9;"basis koffie deksel";"cirkel links achter"
"009010";"pre";10;"superman armen wijd";"kleine eitjes weerszijden"
"009010";"pre";11;"ronde neus staartjes";"los ei rechts"
"009010";"pre";12;"trechter bijzettafel reling";"plat ovaal rechts"
"009010";"pre";13;"zwembad kralenketting";"plaat onderaan"
"009010";"pre";14;"plank knuffel geven";"ei bovenop"
"009010";"pre";15;"tutu slurf hendel";"plaat doorheen voorwerp"
"009010";"pre";16;"telescoop twee hendels";"meerdere blokjes rechts"
"009010";"post";1;"robot plaat antenne";"robot"
"009010";"post";2;"piramide pipet";"piramide bovenop"
"009010";"post";3;"cocktailglas pirouette";"cocktailglas"
"009010";"post";4;"eend kip";"eend"
"009010";"post";5;"lampenkap balk";"balk bovenop"
"009010";"post";6;"doorboord ei";"doorboord ei"
"009010";"post";7;"plantenbak opgetild tafeltje";"hangend aan tafeltje"
"009010";"post";8;"ruitjes oude camera's";"ruit achterkant"
"009010";"post";9;"pannetje deksel kegel";"steelpan deksel"
"009010";"post";10;"peper zout paaseitjes";"peper en zout"
"009010";"post";11;"ei wolkenkrabber hoofd";"ei voorop"
"009010";"post";12;"b vormige reling bijzettafel";"balk bijzettafeltje"
"009010";"post";13;"clown zwembad kralenketting";"clown"
"009010";"post";14;"wolkenkrabber knuffelen";"wolkenkrabber knuffel"
"009010";"post";15;"tutu slurf hendel";"tutu"
"009010";"post";16;"oude camera kegels";"twee pluggen"
"011012";"pre";1;"antenne erop";"robot met verrekijker"
"011012";"pre";2;"driehoekige punt erboven";"piramide bovenop"
"011012";"pre";3;"op spiraal staaf";"wijnglas met blokjes"
"011012";"pre";4;"twee uithangbordjes rechts";"eend met staart"
"011012";"pre";5;"liggende staaf erop";"kuikentje met hanenkam"
"011012";"pre";6;"viekant door bol";"helikopter"
"011012";"pre";7;"bakje op plank";"beker door tafel"
"011012";"pre";8;"blokjes door ruit";"filter met handvaten"
"011012";"pre";9;"ronde plaat erachter";"beker met pollepel"
"011012";"pre";10;"staaf bol uiteinden erdoor";"deegroller door kopje"
"011012";"pre";11;"driehoekig prisma zijkant";"neus en bowlingpin"
"011012";"pre";12;"rond dienblad rechts";"plateau en trompet"
"011012";"pre";13;"spiraal erdoor";"kopje met diamanten"
"011012";"pre";14;"balletje erop";"fietsstuur met bolletje"
"011012";"pre";15;"plaat erdoor";"kopje twee stokjes"
"011012";"pre";16;"blokken rechts voor";"bowlingpin bovenkant zijkant"
"011012";"post";1;"antenne blokjes plaat";"verrekijker met antenne"
"011012";"post";2;"driehoek punt blok";"driehoek bovenop"
"011012";"post";3;"trofee driehoek plateau";"trofee met blokjes"
"011012";"post";4;"uithangborden lampenkap staartje";"uithangbordjes en lampenkap"
"011012";"post";5;"balk erop vleugeltjes";"balk bovenop vleugels"
"011012";"post";6;"zuignap";"bol met zuignap"
"011012";"post";7;"tafeltje bakje";"tafeltje met bakje"
"011012";"post";8;"erachter ruit blokken";"ruit toenemende vierkanten"
"011012";"post";9;"ronde plaat erachter";"rechtsbovenin pollepel"
"011012";"post";10;"staaf bolletjes zonnescherm";"zonnepaneel balk rondje"
"011012";"post";11;"bolletje bowlingpin";"bolletje aan voorkant"
"011012";"post";12;"trompet";"trompet rond plateau"
"011012";"post";13;"drie puntjes rondje";"diamanten op plateau"
"011012";"post";14;"staaf bol armpjes";"balk met bol"
"011012";"post";15;"plaat erdoor slurf";"schijf door midden"
"011012";"post";16;"blokken rechts eruit";"twee bowling pinnen"
"013014";"pre";1;"symmetrisch vierkant vlak uitsteeksel";"twee torens links"
"013014";"pre";2;"puntig compact complex";"tol linker kant"
"013014";"pre";3;"complex puntig lang";"spiraal afvoer driehoek"
"013014";"pre";4;"hoekig afgevlakte punt";"hendel links torens"
"013014";"pre";5;"symmetrisch complex puntig balk op de bovenkant twee half ronde uitsteeksel aan de zijkant";"lampenkap links rechthoek"
"013014";"pre";6;"bekend rond uitsteeksel";"lepel arm voorkant"
"013014";"pre";7;"puntig lang";"schap met kommetje"
"013014";"pre";8;"symmetrisch puntig twee blokkige uitsteeksel bodem en rechts";"afvoer onder bocht"
"013014";"pre";9;"niet symmetrisch afgevlakte onderkant cirkel aan de achterzijde";"pentagon staaf links"
"013014";"pre";10;"langwerpig voorwerp dwars doorheen vlak afgerond";"gieter met zonnepaneel"
"013014";"pre";11;"bolvormige object aan de voorkant twee puntige uitsteeksels een uitsteeksel aan linkerzijde";"kegel bovenkant bal"
"013014";"pre";12;"puntig complex interessant";"pion omgekeerd links"
"013014";"pre";13;"vlak vierkant bodem cirkel voorkant";"lijn van bolletjes"
"013014";"pre";14;"langwerpig ronde form bovenkant";"symmetrisch bal bovenkant"
"013014";"pre";15;"complex puntig compact";"reservoir plaat onderkant"
"013014";"pre";16;"kopvormig vier uitsteeksel";"twee ovalen knobbels"
"013014";"post";1;"vlak voorkant paddestoel";"paddenstoel"
"013014";"post";2;"driehoek erop";"piramide rotzooi"
"013014";"post";3;"spiraal driehoek bodem";"spiraal met driehoek"
"013014";"post";4;"handel afgevlakte driehoek";"afgevlakte driehoek hendeltje"
"013014";"post";5;"kapjes zijkanten balk erop";"rechthoek bovenkant lampenkap"
"013014";"post";6;"balk door de bol";"slinger bal cirkel"
"013014";"post";7;"tafel mok of bakje";"tafel met bakje"
"013014";"post";8;"twee vierkanten met handels van kleinere kubussen";"aangedreven vierkant slurven"
"013014";"post";9;"cirkel achter balk erdoorheen";"cirkel achterkant"
"013014";"post";10;"cilinder achterkant twee bolletjes";"achterliggende staaf knobbels"
"013014";"post";11;"bal voorkant uitsteeksel zijkant";"losse bal voorkant"
"013014";"post";12;"mok tafeltje lang gerekte pion";"pion b tafeltje"
"013014";"post";13;"platte cirkel voorkant";"kleine bolletjes plaat"
"013014";"post";14;"bal op balk voorkant";"bal bovenkant balk"
"013014";"post";15;"slurf aan de voorkant plaat door heen";"plaat met slurf"
"013014";"post";16;"cilinder bocht achter";"buis achterkant knik"
"015016";"pre";1;"robothoofd met plaat";"vierkant vlak voorkant"
"015016";"pre";2;"spitse punt omhoog";"driehoek bovenop uitsteeksels"
"015016";"pre";3;"getordeerd";"langwerpig blokje driehoek"
"015016";"pre";4;"twee rechthoeken zijkant";"twee blokken rechts"
"015016";"pre";5;"v goot";"compact balkje boven"
"015016";"pre";6;"stamper door neus";"ei staaf rondje"
"015016";"pre";7;"tafel met trechter";"vierkant vlak hoog"
"015016";"pre";8;"zeepaardje";"uitsteeksels vier zijdes"
"015016";"pre";9;"zeshoekige staaf zijkant";"rondje achterkant"
"015016";"pre";10;"aanknooppunt voor boten";"uitsteeksels achterkant"
"015016";"pre";11;"v goot zijkant";"vier verschillend uitsteeksels"
"015016";"pre";12;"toeter op arm";"langwerpig links punt"
"015016";"pre";13;"geruite handvatten";"vierkant vlak onder"
"015016";"pre";14;"bal op emmer";"ei bovenop staaf"
"015016";"pre";15;"emmer in vierkant";"vierkant halverwege"
"015016";"pre";16;"twee ronde handvatten";"twee kegels blokje"
"015016";"post";1;"robot";"robot"
"015016";"post";2;"spitse punt";"spitse driehoek bovenop"
"015016";"post";3;"trofee";"trofee wokkel"
"015016";"post";4;"platte driehoek";"platte driehoek bovenop"
"015016";"post";5;"kip";"kip"
"015016";"post";6;"staaf door ei";"staaf door bal"
"015016";"post";7;"tafel en bakje";"tafel bakje"
"015016";"post";8;"zeepaardje";"zeepaardje"
"015016";"post";9;"zeshoekige staaf zijkant";"rondje achterkant"
"015016";"post";10;"staaf twee ballen";"staaf ballen zijkant"
"015016";"post";11;"v goot zijkant";"driehoek balkje links"
"015016";"post";12;"toeter";"toeter"
"015016";"post";13;"zes ruiten zijkanten";"zes bolletjes zijkant"
"015016";"post";14;"staaf verticaal bal";"bal bovenop"
"015016";"post";15;"vierkant midden emmer";"vierkant halverwege doorheen"
"015016";"post";16;"telescoop";"telescoop"
"017018";"pre";1;"laserogen antenne";"plaat spijker bovenop"
"017018";"pre";2;"voetjes snavel mohawk";"driehoek bovenop"
"017018";"pre";3;"tornado onderaan";"wokkel driehoek onderaan"
"017018";"pre";4;"trapezium bovenop";"twee balkjes rechts"
"017018";"pre";5;"schoonmaakrobot";"lange balk bovenop"
"017018";"pre";6;"heeft een snor";"kopje steel bol"
"017018";"pre";7;"rand rondom";"plaat twee poten"
"017018";"pre";8;"doorboorde ruit bovenop";"driehoek achter boven"
"017018";"pre";9;"kopje met citroen schijf";"breed voetstuk onder"
"017018";"pre";10;"armen en matje";"plaat achter kopje"
"017018";"pre";11;"pennenbak met neus";"kopje lepel staaf"
"017018";"pre";12;"vastgeplakt aan kauwgom";"langste spijker links"
"017018";"pre";13;"pippi langkous";"kralen links rechts"
"017018";"pre";14;"korfbal korf met armen";"rond bolletje bovenop"
"017018";"pre";15;"in een plaat";"vierkant door figuur"
"017018";"pre";16;"links en boven dezelfde";"vier verschillende uitsteeksels"
"017018";"post";1;"links groter wordende vierkanten";"antenne plaat"
"017018";"post";2;"driehoek achterop telescoop";"driehoek telescoop"
"017018";"post";3;"wokkel met driehoek";"wokkel driehoek"
"017018";"post";4;"trapezium bovenop";"trapezium"
"017018";"post";5;"schoonmaakrobot";"schoonmaakrobot"
"017018";"post";6;"appel steeltje doorboorde neus";"appel steeltje"
"017018";"post";7;"tafel met bakje";"tafel met schaaltje"
"017018";"post";8;"vierkanten door ruiten";"dubbele driehoek"
"017018";"post";9;"cirkel achterop appel steeltje";"rondje achterkant"
"017018";"post";10;"waterval twee armen";"waterval"
"017018";"post";11;"roerstaaf voor verf";"verf spatel"
"017018";"post";12;"oude spijker plateau";"oude spijker"
"017018";"post";13;"pippi langkous";"pippi staartjes"
"017018";"post";14;"korf met bal";"korfbal"
"017018";"post";15;"platform doorboort glijbaan";"glijbaan"
"017018";"post";16;"lepel boven links";"twee dezelfde lepels"
"019020";"pre";1;"telescoop ogen";"rechts vierkante plaat"
"019020";"pre";2;"driehoek boven";"driehoek bovenop"
"019020";"pre";3;"gedraaide onderkant";"groot aanhangsel onderaan"
"019020";"pre";4;"vogeltje";"twee balkjes rechts"
"019020";"pre";5;"balk boven op";"rechthoekig balkje bovenop"
"019020";"pre";6;"neus met staaf";"ronde neus doorboord"
"019020";"pre";7;"tafeltje met bakje";"tweepotige tafel"
"019020";"pre";8;"kat";"ruit bovenop"
"019020";"pre";9;"beker met roerlepel";"lepeltje rechts"
"019020";"pre";10;"horizontale doorlopende staaf";"linksboven soort schans"
"019020";"pre";11;"midden bovenste rij";"verticale balk bovenop"
"019020";"pre";12;"spijker en plateau";"rond plateau rechts"
"019020";"pre";13;"rij met ruitjes";"op een plaat"
"019020";"pre";14;"balletje boven op";"verticale balk zijkant"
"019020";"pre";15;"twee balkjes boven";"plaat door kopje"
"019020";"pre";16;"joystick boven op";"rechtop midden lepel"
"019020";"post";1;"twee telescopen";"twee telescopen"
"019020";"post";2;"scherpe driehoek";"driehoek en potloodpunt"
"019020";"post";3;"gedraaide onderkant";"groot aanhangsel blokjes"
"019020";"post";4;"vogeltje";"vogel"
"019020";"post";5;"omgekeerd bekertje";"balk omgekeerde bekers"
"019020";"post";6;"neus doorboord";"doorboorde neus kuif"
"019020";"post";7;"tafeltje met kom";"tweepotige tafel"
"019020";"post";8;"kat";"kat ruit bovenkant"
"019020";"post";9;"beker met lepeltje";"standaard en lepeltje"
"019020";"post";10;"schans en spijker";"schroef erdoor schans"
"019020";"post";11;"neus met pennetje";"neus rechthoek pen"
"019020";"post";12;"schijfje met spijker";"rond plateau rechts"
"019020";"post";13;"macaroni";"blad macaroni sprieten"
"019020";"post";14;"bolletje ongelijke armen";"bal rechthoek armen"
"019020";"post";15;"vlak met slurf";"blad door beker"
"019020";"post";16;"telescoop met pennen";"joysticks telescoop wormpje"
"021022";"pre";1;"uitschuifbare blokjes";"dubbele spijker zijkant"
"021022";"pre";2;"hoge piramide";"hoed aan bovenkant"
"021022";"pre";3;"omhoog gaande draaimolen";"driehoek met spiraal"
"021022";"pre";4;"vogel met twee snavels";"dubbele plaatjes"
"021022";"pre";5;"stofzuigende robot";"balk bovenop"
"021022";"pre";6;"langwerpige neuspiercing";"staaf door ei"
"021022";"pre";7;"ophang plankje";"plateau met bak"
"021022";"pre";8;"bloempot op een stokje";"vierkant met uitsteeksel"
"021022";"pre";9;"pinokkio";"houder onderkant"
"021022";"pre";10;"centraal riolering punt";"buis doorheen"
"021022";"pre";11;"dikke indiaan";"bal aan zijkant"
"021022";"pre";12;"bijtelen";"spijker in aanhangsel"
"021022";"pre";13;"pan vaas afwassen";"plateau onderkant"
"021022";"pre";14;"bal in korfbal mandje";"bal bovenop"
"021022";"pre";15;"waterglijbaan";"plateau midden"
"021022";"pre";16;"twee dezelfde pluimen";"ovaal midden rechtop"
"021022";"post";1;"paddestoel kaasplakje kijkes";"paddestoel bovenop"
"021022";"post";2;"piramide koekje schroef";"spijker aan zijkant"
"021022";"post";3;"beker trofee";"trofee met kubussen"
"021022";"post";4;"hoedje vogel twee snavels";"twee plaatjes zijkant"
"021022";"post";5;"robot stofzuiger";"liggende balk bovenop"
"021022";"post";6;"neuspiercing";"neus met piercing"
"021022";"post";7;"tafeltje houder bakje";"plateau met bak"
"021022";"post";8;"klappen een standvlak";"ruit met doorboren"
"021022";"post";9;"cocktail halve cirkel";"smalle houder onder"
"021022";"post";10;"klep riool bolletjes";"cilinder met plateau"
"021022";"post";11;"indiaan omgedraaide kegel";"neus zonder piercing"
"021022";"post";12;"spijker plateau";"spijker in pacman"
"021022";"post";13;"afwas houder doorboord";"plateau onderaan"
"021022";"post";14;"korfbal houder bal";"korfbal met paal"
"021022";"post";15;"glijbaan";"plateau met glijbaan"
"021022";"post";16;"identieke pluim";"zelfde uitsteeksel bovenop"
"023024";"pre";1;"stekker";"horizontale torentjes paddestoel"
"023024";"pre";2;"tent";"puntmuts neus oor"
"023024";"pre";3;"bier beker";"scheef wijnglas blokjes"
"023024";"pre";4;"vis";"snavel armpje pootje"
"023024";"pre";5;"graan machine";"rechthoek bovenop"
"023024";"pre";6;"kop koffie";"propeller neus sprietje"
"023024";"pre";7;"picnic tafel";"tafel schaaltje dienblad"
"023024";"pre";8;"pinokkio";"twee pootjes scheef"
"023024";"pre";9;"sauteer pan";"wiegje handvat lepel"
"023024";"pre";10;"ernergie centrale";"platte staaf courgette"
"023024";"pre";11;"indiaan clown";"uitstekend rechthoek handvat"
"023024";"pre";12;"bestuuringssysteem";"tafelpoot plateau uitstekend"
"023024";"pre";13;"kruk";"vlechtjes neus dienblad"
"023024";"pre";14;"basketbal hoop";"fietsstuur balletje basket"
"023024";"pre";15;"maal machine";"stoomschip verhoogd vierkant"
"023024";"pre";16;"blender";"vier uitsteeksels"
"023024";"post";1;"robot met paddenstoel";"robot champignon"
"023024";"post";2;"tent";"tipi tent"
"023024";"post";3;"wijn glas";"wijnglas speciaal bier"
"023024";"post";4;"kuikentje";"kuikentje"
"023024";"post";5;"chicken little";"chicken little"
"023024";"post";6;"piercing";"neus piercing"
"023024";"post";7;"tafel met bakje";"tafeltje met bakje"
"023024";"post";8;"pinokkio";"dansend hobbelpaard"
"023024";"post";9;"cocktail";"cocktail citroen schijfje"
"023024";"post";10;"courgette";"courgette"
"023024";"post";11;"neus fancy lepel";"neus fancy lepel"
"023024";"post";12;"casino royaal";"casino hendel"
"023024";"post";13;"pippi langkous";"pippi langkous"
"023024";"post";14;"basketball hoop";"basketbal fietsstuur"
"023024";"post";15;"boot met tutu";"stoomboot met tutu"
"023024";"post";16;"stofzuiger";"stofzuiger"
"025026";"pre";1;"vierkant voorkant";"paddestoel bovenop"
"025026";"pre";2;"piramide driehoek bovenkant";"persoon met piramide"
"025026";"pre";3;"uitsteeksel onderkant lang";"schroef onderin"
"025026";"pre";4;"twee rechthoeken rechts";"kip"
"025026";"pre";5;"meest compact";"balk bovenop"
"025026";"pre";6;"klein uitsteeksel bovenkant";"stok door neus"
"025026";"pre";7;"twee pootjes onderkant";"kruiwagen"
"025026";"pre";8;"meest complex";"dier op zijkant"
"025026";"pre";9;"verlengde onderkant";"koffiekopje"
"025026";"pre";10;"handvaten rond uiteinde";"gieter"
"025026";"pre";11;"neus en oor";"ronde neus"
"025026";"pre";12;"trechtervormig uitstekend linksboven";"spijker bovenop"
"025026";"pre";13;"vierkant aan onderkant";"pot op vierkant"
"025026";"pre";14;"verticale rechthoek";"balk en bal"
"025026";"pre";15;"vierkant door object";"vierkant omheen"
"025026";"pre";16;"ovaal boven links";"theepot"
"025026";"post";1;"spijker vierkant";"spijker vierkant vlak"
"025026";"post";2;"piramide";"piramide"
"025026";"post";3;"driekhoek onderkant";"schroef op driehoek"
"025026";"post";4;"hoedje twee rechthoeken";"hoedje uitstekende puntjes"
"025026";"post";5;"compact";"compact"
"025026";"post";6;"stokje door neus";"balk door neus"
"025026";"post";7;"kruiwagen";"kruiwagen"
"025026";"post";8;"dier";"dier op zijkant"
"025026";"post";9;"lepeltje halve circkel";"kopje half rondje"
"025026";"post";10;"schuin vierkant achterkant";"gieter"
"025026";"post";11;"neus driehoekje lepeltjes";"neus twee uitsteeksels"
"025026";"post";12;"dienblad";"dienblad spijker"
"025026";"post";13;"vierkant onder kopje";"vierkant object erop"
"025026";"post";14;"armen lange rechthoek";"mannetje met armen"
"025026";"post";15;"vierkant door midden";"vierkant er doorheen"
"025026";"post";16;"theepot";"theekan"
"027028";"pre";1;"pot antenne armen";"minion met verrekijker"
"027028";"pre";2;"driehoek hoedje";"zeil van zeilboot"
"027028";"pre";3;"kalk trofee blokjes";"typhoon"
"027028";"pre";4;"toilet spoeler staartje stekker";"wiskundige vergelijking"
"027028";"pre";5;"boekentas houder boek";"watermolen"
"027028";"pre";6;"gewichtheffen spring haartje";"ronde neus piercing"
"027028";"pre";7;"schap hanger bloempot";"trechter op salontafel"
"027028";"pre";8;"armen ster uitstekels";"pinokkio met hanenkam"
"027028";"pre";9;"nek pinokkio";"rond oor"
"027028";"pre";10;"gestrekte armen";"diaprojector"
"027028";"pre";11;"neus antennen oor";"ronde neus rechteroor"
"027028";"pre";12;"rond dienblad splinter";"neus omgekeerde eiffel oren"
"027028";"pre";13;"dienblad cirkel kopje";"pippi langkous vlechten"
"027028";"pre";14;"balk bal houder";"neus op hoofd"
"027028";"pre";15;"twee uitsteekseltjes";"rare glijbaan"
"027028";"pre";16;"tong uit mond";"mixer"
"027028";"post";1;"antenne twee wolkenkrabbers";"twee skyscrapers"
"027028";"post";2;"piramide feesthoedje";"feesthoedje"
"027028";"post";3;"trofee";"trofee"
"027028";"post";4;"stekker afgevlakte piramide";"adapter"
"027028";"post";5;"boekentas krantenbak";"kleine rugzak"
"027028";"post";6;"neuspiercing spring haartje gewichtheffen";"neuspiercing"
"027028";"post";7;"bloempot schapje";"bloembak"
"027028";"post";8;"bliksem ruitjes";"ruiten en bliksemschicht"
"027028";"post";9;"pollepel pinokkio";"cocktail"
"027028";"post";10;"krantenbak grote rugzak";"grote rugzak"
"027028";"post";11;"ronde neus";"grote neus"
"027028";"post";12;"splinter rond plateau";"naald in arm"
"027028";"post";13;"pippi langkous onderzetter";"pippi langkous"
"027028";"post";14;"basketbalnet bal";"basketbal"
